id,local_id,user_id,name,folder_id,network,created_at,updated_at
"1","0yc6cr-2020-11-24T14:19:14.217Z","4820","Inner Folder","syi4go-2020-11-24T14:19:04.439Z",,"2020-11-25 14:40:19.550814","2020-11-25 14:40:19.550814"
"3688","exsoo-2024-12-13T10:18:04.569Z","557","Music board",,,"2024-12-13 10:18:04.974543","2024-12-13 10:18:04.974543"
"2062","ucllx-2022-05-14T18:23:53.877Z","17182","Mission",,,"2022-08-05 03:38:19.83865","2022-08-05 03:38:19.83865"
"7","3l1voi-2020-11-25T15:44:33.157Z","4820","Mondays","4",,"2020-11-25 15:44:33.64396","2020-11-25 15:44:33.64396"
"8","uobejj-2020-11-25T16:14:03.883Z","4820","Tuesdays","4",,"2020-11-25 16:14:04.471869","2020-11-25 16:14:04.471869"
"2441","86q9jt-2022-07-03T20:24:16.433Z","18790","Posts",,,"2022-11-27 22:06:15.869278","2022-11-27 22:06:15.869278"
"10","3xtyt-2020-11-25T16:18:01.050Z","4820","Wednesdays","4",,"2020-11-25 16:18:01.325224","2020-11-25 16:18:01.325224"
"11","33a99u-2020-11-25T16:45:47.861Z","4820","Thursdays","4",,"2020-11-25 16:45:49.516385","2020-11-25 16:45:49.516385"
"91","5ogry8-2020-12-22T07:30:55.392Z","8041","Pendulum",,,"2020-12-22 07:30:55.932388","2020-12-22 07:30:55.932388"
"12","qrrslr-2020-11-25T16:47:09.042Z","4820","Fridays","4",,"2020-11-25 16:47:09.497111","2020-11-25 16:47:09.497111"
"13","dyvlc-2020-11-25T16:47:14.840Z","4820","Saturdays","4",,"2020-11-25 16:47:15.14229","2020-11-25 16:47:15.14229"
"14","x0skjx-2020-11-25T16:47:20.215Z","4820","Sundays","4",,"2020-11-25 16:47:20.547935","2020-11-25 16:47:20.547935"
"93","k4e4a9-2020-12-22T23:14:35.243Z","886","Fitness",,,"2020-12-22 23:14:36.141609","2020-12-22 23:14:36.141609"
"4","uvonk-2020-11-25T14:44:27.789Z","4820","Weekdays",,,"2020-11-25 14:44:28.089689","2020-12-06 13:49:50.95154"
"29","h845o8-2020-12-04T20:54:28.780Z","4820","Pinterest",,"pinterest","2020-12-04 20:54:29.28035","2021-02-15 21:42:54.141761"
"27","eaqlg-2020-12-04T20:54:18.678Z","4820","Pinterest",,"pinterest","2020-12-04 20:54:18.953969","2021-02-15 22:16:14.233967"
"92","860ito-2020-12-22T16:39:29.118Z","886","Next Post",,"instagram","2020-12-22 16:39:29.821788","2021-02-22 19:07:22.80692"
"94","ea2fv7-2020-12-23T06:43:31.660Z","557","Social Media Bios ",,,"2020-12-23 06:43:32.127796","2020-12-23 06:43:32.127796"
"28","erxiz7-2020-12-04T20:54:23.936Z","4820","TikTok",,"tiktok","2020-12-04 20:54:24.42984","2021-02-15 21:07:26.996676"
"25","n922r9-2020-12-04T20:54:07.894Z","4820","Clubhouse",,"clubhouse","2020-12-04 20:54:08.471405","2021-02-15 21:13:14.82182"
"31","w35d26-2020-12-06T14:41:31.789Z","282","Templates",,,"2020-12-06 14:41:32.292596","2020-12-06 14:41:32.292596"
"67","xgeqsm-2020-12-10T10:00:38.372Z","7620","Egg Fast",,,"2020-12-10 10:00:38.945833","2020-12-10 10:00:38.945833"
